step,train_loss,train_acc,test_loss,test_acc
0,1.5242657856563169,0.43448,1.698769522618644,0.4281
1,1.110971414524576,0.60104,1.0035817019547089,0.6507
2,0.9399622201614672,0.66538,1.2209140054787262,0.5902
3,0.8354954344537252,0.70586,0.9839351893980292,0.6605
4,0.7576407227674713,0.73458,1.0698221476772163,0.6416
5,0.6969333859660741,0.75764,0.8273095156573043,0.7132
6,0.63963169568335,0.77914,0.8335767954210692,0.7132
7,0.597546081485041,0.78998,0.7058055265040337,0.7594
8,0.5579491849902951,0.80682,0.8111277117004877,0.7298
9,0.5265595451797671,0.81736,0.8046709947948214,0.7244
10,0.49470388035640084,0.82922,0.6381621564490886,0.7847
11,0.4610155553311643,0.84006,0.7043569431274752,0.7762
12,0.4348157468201864,0.84726,0.6533280912833878,0.7816
13,0.4132824990984119,0.85644,0.6362542883504795,0.7901
14,0.3913265531477721,0.86354,0.5928763634041895,0.802
15,0.3721187132627458,0.86998,0.7196931024140949,0.7678
16,0.35055734754523354,0.87698,0.6760229355172266,0.7881
17,0.32518567464998005,0.88614,0.6154164720939684,0.8092
18,0.3111998076786471,0.89118,0.956897799727283,0.7412
19,0.30472270355505104,0.89356,0.632848698881608,0.7921
20,0.276714480289108,0.90242,0.6292510111875171,0.7907
21,0.2674460232715168,0.90626,0.5840818617917314,0.8157
22,0.25149940901323964,0.9121,0.6230318018152744,0.8058
23,0.23809427066760905,0.91484,0.6242445518698874,0.8105
24,0.22825317463987624,0.91914,0.5836232421518881,0.8159
25,0.21417156235336343,0.92442,0.6688967645168304,0.8071
26,0.2053706958089643,0.92814,0.5730812372286108,0.8196
27,0.1993808515960603,0.92966,0.599173256490804,0.8221
28,0.18646946785699986,0.93426,0.7125424071203305,0.8057
29,0.18007115148903463,0.93648,0.6253280899947202,0.8124
30,0.1720235859379744,0.93948,0.7362881634808793,0.7966
31,0.1670008082123821,0.94266,0.6916378072545498,0.8061
32,0.16334319040369805,0.94268,0.6154346552830708,0.8251
33,0.15647847017706812,0.94538,0.6633186359194261,0.813
34,0.15195230614689306,0.94776,0.6426620034477378,0.8225
35,0.13562870664936502,0.95354,0.6627470711364022,0.8255
36,0.1415947999262139,0.95018,0.6348491876940184,0.817
37,0.1355587811973851,0.95276,0.8486944406847411,0.7792
38,0.13036313444337883,0.95514,0.7350244997422907,0.802
39,0.12738691656219076,0.9556,0.6829579382003108,0.8247
40,0.12062852315204528,0.95772,0.74697076821629,0.8051
41,0.1198192411543006,0.95862,0.6659595475921148,0.8243
42,0.11597467244357404,0.96016,0.6517136262941964,0.8217
43,0.1104378450252211,0.9618,0.8641447138182724,0.7878
44,0.10861715423824538,0.96336,0.8193318440189844,0.8154
45,0.10689170882963311,0.96288,0.750766472348684,0.8151
46,0.10210938210530049,0.9653,0.7252914826326733,0.814
47,0.09367181882357506,0.96798,0.8497977181325985,0.8079
48,0.10277851922985386,0.96474,0.7352919405019736,0.8168
49,0.09871563507134423,0.9666,0.7055408916895902,0.8163
