round,client_0_acc,client_0_loss,client_1_acc,client_1_loss,client_2_acc,client_2_loss,client_3_acc,client_3_loss,client_4_acc,client_4_loss,mean_acc,mean_loss,test_acc,test_loss
0,0.2864,1.8813747529742084,0.2558,1.9487357169389725,0.2924,1.8490809871225942,0.2924,1.8674115137178071,0.2713,1.9079191262208963,0.27965999999999996,1.8909044193948958,0.1,
1,0.3625,1.6959479851058767,0.3254,1.7655593305826187,0.38552,1.6274605940799325,0.37952,1.6400273612567358,0.3585,1.6944839984555788,0.36228800000000005,1.6846958538961485,0.1016,
2,0.4161,1.570247294027594,0.3712,1.678542321920395,0.4492,1.481458347670886,0.44792,1.4975818626734676,0.4031,1.6152326381659206,0.41750399999999993,1.5686124928916527,0.2191,
3,0.4646,1.447450405434717,0.4278,1.5241997510194778,0.50432,1.3646266095492305,0.49224,1.3982987878273945,0.4473,1.489505622960344,0.46725200000000006,1.444816235358233,0.2709,
4,0.5197,1.3376310867599295,0.4978,1.3610595285892486,0.54008,1.2639778584850079,0.51816,1.3257282303304088,0.4967,1.3847137946116774,0.5144880000000001,1.3346220997552545,0.4619,
5,0.5555,1.23131867300106,0.552,1.2650998532772064,0.57888,1.174936619340157,0.55128,1.244102240825186,0.5401,1.2709783428831944,0.5555519999999999,1.2372871458653607,0.5819,
6,0.5847,1.1557815120190005,0.5752,1.1694534778594972,0.60416,1.0980291311838188,0.5836,1.1573496114234536,0.5745,1.1904216084299208,0.584432,1.154207068183138,0.6097,
7,0.6052,1.0985845636717881,0.6132,1.0804596349596978,0.62576,1.049407673733575,0.6028,1.107872441106913,0.6069,1.1139221893081181,0.610772,1.0900493005560183,0.6483,
8,0.6236,1.0499391253990462,0.6422,1.0132661759853363,0.63944,1.0136619891439165,0.62432,1.0489895988483817,0.6198,1.0645148407054852,0.629872,1.0380743460164332,0.6483,
9,0.6405,1.007209054276913,0.6312,1.0449471548199654,0.65968,0.9676704954127876,0.63816,1.0095601702223018,0.6409,1.0126097662539422,0.642088,1.0083993281971821,0.6419,
10,0.6595,0.9534484246109105,0.6602,0.9526157423853874,0.67264,0.9212993651020284,0.65464,0.954867348987229,0.6599,0.9778910000112992,0.661376,0.952024376219371,0.6456,
11,0.6733,0.9118110688426827,0.6746,0.9029408723115921,0.68448,0.8848826234437981,0.66752,0.9252602336358051,0.661,0.9519051419028753,0.67218,0.9153599880273507,0.6413,
12,0.6754,0.8957346338260023,0.6934,0.8546360701322555,0.69904,0.8546800084260046,0.68352,0.8929564703483971,0.6788,0.9072507702851598,0.686032,0.8810515906035639,0.7137,
13,0.6861,0.8724260156667685,0.702,0.8197285085916519,0.71072,0.8247583435506237,0.6908,0.8691382420306303,0.6857,0.8973027150842208,0.695064,0.8566707649847791,0.7055,
14,0.7113,0.8297441669657261,0.7298,0.7743598088622093,0.72528,0.7868278561806192,0.69896,0.8558416834899357,0.7028,0.8484993079040624,0.713628,0.8190545646805105,0.7059,
15,0.7123,0.8166754796535154,0.7094,0.8243239596486092,0.72936,0.7692022290156812,0.71536,0.8145865816242841,0.7048,0.8397659923456893,0.7142440000000001,0.8129108484575559,0.7286,
16,0.7185,0.7920202446889274,0.7292,0.7732080742716789,0.74464,0.7243606654965148,0.71384,0.8016230111219445,0.7149,0.813860448855388,0.724216,0.7810144888868906,0.7185,
17,0.7311,0.7615506897998762,0.749,0.7038228772580624,0.74752,0.7168793812090036,0.7216,0.7855312197792287,0.7161,0.799137095861797,0.7330639999999999,0.7533842527815936,0.7492,
18,0.7375,0.7421031058589115,0.7498,0.6990704104304314,0.75656,0.6969388194230138,0.73136,0.7591319114578013,0.7307,0.7707325929327856,0.7411840000000001,0.7335953680205887,0.7611,
19,0.7496,0.713552334263355,0.7588,0.6724665708839893,0.76104,0.6795738418491519,0.73168,0.7555155057688149,0.7307,0.763220134415204,0.746364,0.716865677436103,0.7237,
20,0.7575,0.6838108750083779,0.7808,0.6229202628135682,0.77184,0.6442865124162362,0.74768,0.725769390865248,0.745,0.7399873394000379,0.760564,0.6833548761006936,0.746,
21,0.7646,0.6619834733914726,0.7882,0.6118935510516167,0.77824,0.6258769272541513,0.74496,0.7329845592683676,0.7413,0.733718605735634,0.7634599999999999,0.6732914233402484,0.7438,
22,0.7744,0.6449948553043076,0.7804,0.6246318206191063,0.78584,0.6090352322374072,0.74944,0.7179112650301992,0.7493,0.7124078500119946,0.767876,0.661796204640603,0.778,
23,0.774,0.6462306365182128,0.7876,0.6068005368113518,0.7948,0.5925388570342746,0.75488,0.6999286772037039,0.755,0.7141790601271617,0.7732559999999999,0.6519355535389408,0.7526,
24,0.7839,0.6196672392042377,0.7952,0.5816208086907864,0.79632,0.5800821589572089,0.75936,0.6911636292934418,0.763,0.7050710494005228,0.779556,0.6355209771092396,0.7681,
25,0.7827,0.6008228214481209,0.7786,0.6131388261914253,0.81264,0.5430161439034403,0.7656,0.6768130912464492,0.7549,0.7014494047889227,0.778888,0.6270480575156717,0.7634,
26,0.8035,0.5597564038596575,0.7934,0.5900696501135826,0.81192,0.5411124925832359,0.768,0.6662892778309024,0.7681,0.6725412916533554,0.788984,0.6059538232081468,0.7791,
27,0.8069,0.5549190783802467,0.8136,0.5472849905490875,0.8148,0.5250902154615947,0.76552,0.6656976406063352,0.7698,0.6753370501572573,0.7941239999999999,0.5936657950309043,0.7835,
28,0.8061,0.5488144095185437,0.8112,0.5327085830271244,0.82432,0.5035265009013974,0.77992,0.6411973015994442,0.7681,0.6756663077239748,0.797928,0.580382620554097,0.775,
29,0.8159,0.5177423776705053,0.8374,0.46494450271129606,0.82816,0.4902968166434035,0.77688,0.6459561990840095,0.7689,0.6722048864334444,0.8054480000000002,0.5582289565085319,0.7843,
30,0.817,0.5202787261974963,0.8364,0.4539166815578938,0.83432,0.47858547981904476,0.78016,0.6333800952653496,0.773,0.6634178633176828,0.8081759999999999,0.5499157692314934,0.7864,
31,0.826,0.48672835509988327,0.8454,0.4444864884018898,0.83656,0.4663515239953995,0.7832,0.6287446137593717,0.7812,0.6419814164879956,0.814472,0.5336584795489079,0.7651,
32,0.8308,0.467956430549863,0.8534,0.4172532744705677,0.84056,0.4578484147787094,0.78112,0.63190744878078,0.7709,0.6588410859621023,0.8153560000000001,0.5267613309084045,0.7892,
33,0.8423,0.451367121708544,0.8496,0.4323518253862858,0.84456,0.4396761686218028,0.7856,0.6222190285215572,0.7844,0.6336580571494524,0.821292,0.5158544402775285,0.7854,
34,0.8368,0.4551825753495663,0.8328,0.45149183049798014,0.8528,0.4259557085377829,0.78304,0.6245693369787566,0.7775,0.6422028209589705,0.816588,0.5198804544646113,0.7968,
35,0.8546,0.4205647729620149,0.853,0.40908747874200346,0.85336,0.4127639930467216,0.78864,0.6140670672971376,0.7868,0.618648445304436,0.82728,0.4950263514704627,0.7751,
36,0.8486,0.43499108281316634,0.8626,0.38768956772983076,0.85952,0.4064122994943541,0.78656,0.6177066655791535,0.7812,0.6293442041813573,0.8276960000000001,0.4952287639595724,0.7774,
37,0.8507,0.4138745344892333,0.8832,0.3507990572601557,0.86224,0.39379254804582015,0.7928,0.6033482332618869,0.7873,0.6338532582114015,0.835248,0.4791335262536995,0.802,
38,0.8627,0.38048977037019366,0.8628,0.3786255769431591,0.872,0.3738810245175751,0.796,0.5993047490411875,0.7859,0.6169263445123842,0.8358800000000001,0.4698454930768999,0.7917,
39,0.8637,0.38338375393348406,0.8734,0.37517812177538873,0.86888,0.366038907243281,0.79328,0.5986853165894138,0.792,0.6138587495948695,0.838252,0.46742896982728743,0.8037,
40,0.8633,0.3728603071804288,0.845,0.43985473066568376,0.87304,0.36129303124486184,0.796,0.5974631467644049,0.7949,0.6011312826524807,0.8344480000000001,0.474520499701572,0.7935,
41,0.8747,0.35661776156365116,0.8684,0.39826516546308993,0.88232,0.34021845034190584,0.79312,0.592522166517316,0.793,0.6035561882242372,0.8423080000000001,0.45823594642204,0.773,
42,0.8817,0.33359203779999214,0.8274,0.494974098354578,0.87816,0.34127118925050814,0.79864,0.5856155652780922,0.8027,0.5840889317325398,0.83772,0.46790836448314205,0.7867,
43,0.8673,0.3709631184988384,0.8814,0.3417026299983263,0.88888,0.31767917333208784,0.79688,0.5763611842174919,0.8034,0.5892582773407803,0.8475719999999999,0.4391928766775049,0.7956,
44,0.8736,0.3581230127358738,0.8858,0.351278243213892,0.8916,0.307777251364017,0.8068,0.5681128295100465,0.8059,0.5716537659681296,0.85274,0.43138902055839184,0.757,
45,0.8819,0.3341042463538013,0.8236,0.4895746182650328,0.89488,0.3086742034980229,0.79896,0.5795536454843015,0.7989,0.5892513881001291,0.8396480000000001,0.4602316203402575,0.8004,
46,0.893,0.31532053347629835,0.885,0.33723327331244946,0.898,0.2944652045867881,0.80576,0.5597752588135856,0.8008,0.5796599225907386,0.856512,0.41729083855597204,0.8003,
47,0.8897,0.30881457860711253,0.8894,0.3277311332523823,0.89984,0.2898867402453812,0.80072,0.5753127318255755,0.8044,0.5756859598280508,0.856812,0.41548622875170044,0.7852,
48,0.8939,0.30703053331073327,0.8764,0.35162165872752665,0.90168,0.2751685511700961,0.8044,0.5664423719352606,0.8006,0.5825827325446696,0.855396,0.4165691695376573,0.8061,
49,0.8966,0.2916057011749171,0.8878,0.32276128269731996,0.89912,0.28615027559655054,0.80152,0.5718157759734562,0.8052,0.5798693740669685,0.8580479999999999,0.41044048190184246,0.8036,
