round,client_id,fed_acc,p2p_acc,bad_count,quarantined
0,0,0.3394,0.1044,0,0
0,1,0.1329,0.111,0,0
0,2,0.3531,0.1457,0,0
0,3,0.324,0.1296,0,0
0,4,0.3515,0.1421,0,0
1,0,0.324,0.125,0,0
1,1,0.297,0.1389,0,0
1,2,0.3808,0.1986,0,0
1,3,0.3095,0.1028,0,0
1,4,0.3188,0.1215,0,0
2,0,0.4299,0.2954,0,0
2,1,0.3202,0.3198,0,0
2,2,0.3011,0.3211,0,0
2,3,0.2707,0.1802,1,0
2,4,0.3718,0.214,0,0
3,0,0.4076,0.3313,0,0
3,1,0.4176,0.3625,0,0
3,2,0.3965,0.3953,0,0
3,3,0.3761,0.2271,0,0
3,4,0.3467,0.2813,0,0
4,0,0.4311,0.495,0,0
4,1,0.2824,0.4514,0,0
4,2,0.4395,0.4233,0,0
4,3,0.4692,0.3793,0,0
4,4,0.416,0.4168,0,0
5,0,0.5496,0.581,0,0
5,1,0.3468,0.5658,0,0
5,2,0.5297,0.5548,0,0
5,3,0.445,0.5489,0,0
5,4,0.4133,0.5523,0,0
6,0,0.4887,0.5839,0,0
6,1,0.4127,0.5656,0,0
6,2,0.5455,0.5715,0,0
6,3,0.2991,0.5431,1,0
6,4,0.5369,0.5693,0,0
7,0,0.5949,0.6447,0,0
7,1,0.5727,0.6458,0,0
7,2,0.5272,0.6508,0,0
7,3,0.4929,0.5941,2,0
7,4,0.5049,0.6237,0,0
8,0,0.5916,0.6197,0,0
8,1,0.3684,0.6407,0,0
8,2,0.6338,0.6413,0,0
8,3,0.5239,0.6398,0,0
8,4,0.6328,0.5938,0,0
9,0,0.528,0.6397,0,0
9,1,0.5213,0.6226,0,0
9,2,0.5978,0.6434,0,0
9,3,0.6052,0.5838,0,0
9,4,0.4505,0.6324,0,0
10,0,0.5871,0.6342,0,0
10,1,0.5247,0.6409,0,0
10,2,0.4082,0.6476,0,0
10,3,0.5771,0.5882,0,0
10,4,0.548,0.6242,0,0
11,0,0.5601,0.6144,0,0
11,1,0.614,0.6124,0,0
11,2,0.5383,0.6682,0,0
11,3,0.5251,0.6488,0,0
11,4,0.6557,0.631,0,0
12,0,0.5438,0.7111,0,0
12,1,0.5004,0.6963,0,0
12,2,0.6212,0.694,0,0
12,3,0.5609,0.7024,0,0
12,4,0.666,0.6921,0,0
13,0,0.6173,0.669,0,0
13,1,0.663,0.6773,0,0
13,2,0.6603,0.6976,0,0
13,3,0.6022,0.7001,0,0
13,4,0.6056,0.6984,0,0
14,0,0.4891,0.6717,0,0
14,1,0.4532,0.6517,1,0
14,2,0.5763,0.679,0,0
14,3,0.6482,0.6912,0,0
14,4,0.6046,0.6899,0,0
15,0,0.6535,0.7097,0,0
15,1,0.6634,0.7186,0,0
15,2,0.6665,0.7126,0,0
15,3,0.5091,0.7111,0,0
15,4,0.5726,0.7327,0,0
16,0,0.5856,0.6864,0,0
16,1,0.6661,0.6804,0,0
16,2,0.5536,0.7083,0,0
16,3,0.6518,0.7087,0,0
16,4,0.6404,0.7013,0,0
17,0,0.6901,0.7378,0,0
17,1,0.6198,0.7362,0,0
17,2,0.669,0.7269,0,0
17,3,0.6451,0.714,0,0
17,4,0.6538,0.721,0,0
18,0,0.6697,0.7523,0,0
18,1,0.5925,0.7562,0,0
18,2,0.6836,0.7439,0,0
18,3,0.691,0.6865,0,0
18,4,0.7001,0.7346,0,0
19,0,0.6182,0.7001,0,0
19,1,0.6206,0.6854,0,0
19,2,0.6843,0.6973,0,0
19,3,0.613,0.7256,0,0
19,4,0.6904,0.7172,0,0
20,0,0.6717,0.7229,0,0
20,1,0.6599,0.7268,0,0
20,2,0.6873,0.7108,0,0
20,3,0.654,0.7144,0,0
20,4,0.7275,0.755,0,0
21,0,0.551,0.7209,0,0
21,1,0.6489,0.6987,0,0
21,2,0.6789,0.73,0,0
21,3,0.6218,0.7364,0,0
21,4,0.6056,0.7473,0,0
22,0,0.6638,0.7676,0,0
22,1,0.6596,0.7529,0,0
22,2,0.6588,0.7636,0,0
22,3,0.6844,0.7697,0,0
22,4,0.7222,0.7684,0,0
23,0,0.6566,0.7331,0,0
23,1,0.6624,0.7113,0,0
23,2,0.661,0.7443,0,0
23,3,0.621,0.7447,0,0
23,4,0.6712,0.7501,0,0
24,0,0.6122,0.745,1,0
24,1,0.7098,0.7519,0,0
24,2,0.7069,0.7521,0,0
24,3,0.6449,0.7614,0,0
24,4,0.6316,0.7485,0,0
25,0,0.6698,0.7539,0,0
25,1,0.7316,0.7641,0,0
25,2,0.6999,0.7513,0,0
25,3,0.7215,0.7402,0,0
25,4,0.668,0.7513,0,0
26,0,0.6908,0.7554,0,0
26,1,0.7015,0.7644,0,0
26,2,0.7215,0.7509,0,0
26,3,0.6938,0.7643,0,0
26,4,0.6664,0.7795,0,0
27,0,0.6437,0.7777,0,0
27,1,0.7029,0.7593,0,0
27,2,0.7303,0.776,0,0
27,3,0.7194,0.7325,0,0
27,4,0.6554,0.7718,0,0
28,0,0.7175,0.7497,0,0
28,1,0.6501,0.7673,0,0
28,2,0.6446,0.7709,0,0
28,3,0.695,0.757,0,0
28,4,0.6703,0.681,0,0
29,0,0.7444,0.7783,0,0
29,1,0.683,0.7691,0,0
29,2,0.7135,0.7744,0,0
29,3,0.7522,0.7776,0,0
29,4,0.7544,0.7546,0,0
30,0,0.5849,0.7715,0,0
30,1,0.6665,0.7758,0,0
30,2,0.6466,0.7781,0,0
30,3,0.6385,0.7471,0,0
30,4,0.6706,0.7872,0,0
31,0,0.7372,0.7515,0,0
31,1,0.7309,0.73,0,0
31,2,0.5689,0.7598,0,0
31,3,0.7209,0.7652,0,0
31,4,0.6395,0.7585,0,0
32,0,0.7357,0.7855,0,0
32,1,0.7494,0.7472,0,0
32,2,0.6124,0.7795,0,0
32,3,0.6719,0.768,0,0
