round,client_id,fed_acc,p2p_acc,bad_count,quarantined
32,4,0.6847,0.7839,0,0
33,0,0.7281,0.761,0,0
33,1,0.6522,0.7667,0,0
33,2,0.6866,0.7686,0,0
33,3,0.6658,0.7568,0,0
33,4,0.6774,0.7625,0,0
34,0,0.7324,0.781,0,0
34,1,0.7356,0.7822,0,0
34,2,0.6921,0.7782,0,0
34,3,0.6853,0.7706,1,0
34,4,0.7438,0.7843,0,0
35,0,0.6407,0.7667,0,0
35,1,0.721,0.7616,0,0
35,2,0.6872,0.7731,0,0
35,3,0.6846,0.7732,0,0
35,4,0.6806,0.7278,0,0
36,0,0.729,0.7585,0,0
36,1,0.7481,0.7613,0,0
36,2,0.6943,0.7468,0,0
36,3,0.7465,0.7518,0,0
36,4,0.6913,0.7945,0,0
37,0,0.7327,0.7971,0,0
37,1,0.714,0.7856,0,0
37,2,0.728,0.7815,0,0
37,3,0.7469,0.7936,0,0
37,4,0.7424,0.7748,0,0
38,0,0.6725,0.7625,0,0
38,1,0.7712,0.7677,0,0
38,2,0.6564,0.7582,1,0
38,3,0.714,0.7597,0,0
38,4,0.7129,0.7893,0,0
39,0,0.714,0.7876,0,0
39,1,0.7013,0.7857,0,0
39,2,0.7032,0.7866,0,0
39,3,0.7699,0.7897,0,0
39,4,0.6873,0.7951,0,0
40,0,0.7358,0.7687,0,0
40,1,0.7691,0.7745,0,0
40,2,0.7231,0.7439,1,0
40,3,0.7318,0.7926,0,0
40,4,0.7298,0.7903,0,0
41,0,0.7434,0.7472,0,0
41,1,0.7708,0.7199,0,0
41,2,0.733,0.756,0,0
41,3,0.6716,0.7712,0,0
41,4,0.6726,0.7861,0,0
42,0,0.7146,0.7708,0,0
42,1,0.6686,0.7804,0,0
42,2,0.6526,0.7728,0,0
42,3,0.7467,0.7668,0,0
42,4,0.6414,0.7888,0,0
43,0,0.7549,0.7801,0,0
43,1,0.7978,0.7736,0,0
43,2,0.681,0.7802,0,0
43,3,0.7827,0.782,0,0
43,4,0.7521,0.7999,0,0
44,0,0.7663,0.7266,0,0
44,1,0.7645,0.7112,0,0
44,2,0.7866,0.7195,0,0
44,3,0.6633,0.7959,0,0
44,4,0.7209,0.7489,0,0
45,0,0.7764,0.7831,0,0
45,1,0.6819,0.7825,1,0
45,2,0.7051,0.7843,0,0
45,3,0.7456,0.7888,0,0
45,4,0.7758,0.7919,0,0
46,0,0.7402,0.7893,0,0
46,1,0.7693,0.7887,0,0
46,2,0.7548,0.7865,0,0
46,3,0.7564,0.7968,0,0
46,4,0.7171,0.7657,1,0
47,0,0.7752,0.7766,0,0
47,1,0.7259,0.7764,1,0
47,2,0.7724,0.7793,0,0
47,3,0.767,0.7821,0,0
47,4,0.7304,0.7877,0,0
48,0,0.7656,0.7809,0,0
48,1,0.7324,0.794,0,0
48,2,0.745,0.7826,0,0
48,3,0.7606,0.7977,0,0
48,4,0.5502,0.7937,0,0
49,0,0.6898,0.7931,0,0
49,1,0.6444,0.7905,0,0
49,2,0.6972,0.7888,0,0
49,3,0.7435,0.7989,0,0
49,4,0.7252,0.7901,0,0
