round,client_0_acc,client_0_loss,client_1_acc,client_1_loss,client_2_acc,client_2_loss,client_3_acc,client_3_loss,client_4_acc,client_4_loss,mean_acc,mean_loss,test_acc,test_loss
33,0.4621,1.7777887296073045,0.8166,0.5484290577471256,0.82592,0.5065009648702583,0.75952,0.6969988838750489,0.7575,0.7075943943065933,0.724328,0.8474624060812662,0.7598,
34,0.4608,1.7605858301814599,0.791,0.5988595575094223,0.82976,0.4991917509813698,0.7624,0.6906210150645704,0.7641,0.6867590384392799,0.721612,0.8472034384352204,0.7581,
35,0.4656,1.7510869699188425,0.8392,0.47196921333670616,0.83104,0.4860421349199451,0.76456,0.6787917668722114,0.7669,0.6828086251699472,0.73346,0.8141397420435306,0.7674,
36,0.4637,1.7566232349299178,0.8474,0.4712518371641636,0.83672,0.4649081260574107,0.76304,0.6815395397799355,0.7626,0.6885303251350983,0.7346920000000001,0.8125706126133052,0.7685,
37,0.47,1.727019661589514,0.8416,0.4907540187239647,0.84824,0.4462585242427125,0.76472,0.6735402710583746,0.7658,0.6845642513112177,0.7380720000000001,0.8044273453851567,0.7584,
38,0.4739,1.7107769975179359,0.8312,0.4760480158030987,0.83992,0.4559842716066205,0.77136,0.663090210788104,0.7703,0.6775913777985151,0.737336,0.7966981747028549,0.7429,
39,0.482,1.6901201915137376,0.8386,0.4544539891183376,0.84504,0.44622001295187036,0.77136,0.6603081810231112,0.7706,0.6797524622724026,0.74152,0.7861709673758919,0.7458,
40,0.4868,1.6886016809487645,0.8548,0.49119961708784105,0.85896,0.4133680544945659,0.77192,0.6554847143742503,0.7726,0.661730698392361,0.7490160000000001,0.7820769530595566,0.7545,
41,0.4838,1.6794154704371584,0.804,0.5755835577845574,0.85792,0.406243735430192,0.77288,0.656036199355612,0.7777,0.6455529471741447,0.7392599999999999,0.7925663820363329,0.759,
42,0.4933,1.649112582206726,0.8208,0.5185976386070251,0.85648,0.41426290480458006,0.77416,0.6502441818616829,0.7722,0.6541507885425906,0.743388,0.777273619204521,0.7558,
43,0.4974,1.637361324286159,0.862,0.4162962004542351,0.86544,0.3972776754170048,0.7776,0.6556535837601642,0.7719,0.6532966698272319,0.754868,0.751977090748959,0.758,
44,0.5079,1.6000026736078383,0.82,0.5607287466526032,0.86552,0.37842400797775816,0.77272,0.656271971914233,0.7759,0.6571254171902621,0.7484080000000001,0.770510563468539,0.7602,
45,0.4996,1.6120153575003902,0.836,0.45846047401428225,0.87152,0.3676228059493766,0.7752,0.6494054295578782,0.7747,0.6521447116061102,0.751404,0.7479297557256074,0.7451,
46,0.5116,1.5886506370351285,0.867,0.39571923315525054,0.87184,0.36875786769146823,0.77976,0.648608886161629,0.7783,0.6465152498287491,0.7617,0.7296503747744452,0.7381,
47,0.5139,1.5602828083159048,0.8468,0.44776401594281195,0.87272,0.3596117050976169,0.774,0.6447284017898598,0.7752,0.6460814211941972,0.756524,0.7316936704680781,0.7441,
48,0.5238,1.5352323206165168,0.8566,0.4205127812922001,0.88008,0.3487597016655669,0.78072,0.630373654620988,0.7787,0.6397252814679206,0.7639800000000001,0.7149207479326385,0.771,
49,0.525,1.5218701030634627,0.8844,0.35033347085118294,0.88328,0.333742942889126,0.77456,0.6433797992613851,0.7893,0.6264920227135284,0.771308,0.6951636677557371,0.7685,
