round,client_id,fed_acc,p2p_acc,bad_count,quarantined
31,0,0.6149,0.7343,0,0
31,1,0.7263,0.7265,0,0
31,2,0.6691,0.7449,0,0
31,3,0.7021,0.7238,0,0
31,4,0.5959,0.7469,0,0
32,0,0.571,0.7142,1,0
32,1,0.6576,0.7465,0,0
32,2,0.6675,0.7409,0,0
32,3,0.6962,0.7511,0,0
32,4,0.6849,0.7484,0,0
33,0,0.4823,0.7448,0,0
33,1,0.7105,0.744,0,0
33,2,0.7218,0.7378,0,0
33,3,0.6398,0.7543,0,0
33,4,0.7219,0.7541,0,0
34,0,0.5101,0.7388,0,0
34,1,0.6563,0.7484,0,0
34,2,0.6935,0.7527,0,0
34,3,0.6732,0.7428,0,0
34,4,0.7168,0.7348,0,0
35,0,0.6527,0.7417,1,0
35,1,0.6865,0.7521,0,0
35,2,0.7268,0.747,0,0
35,3,0.6664,0.7576,0,0
35,4,0.7152,0.7617,0,0
36,0,0.6232,0.7356,2,0
36,1,0.6638,0.759,0,0
36,2,0.7077,0.7522,0,0
36,3,0.7306,0.7465,0,0
36,4,0.6313,0.7705,0,0
37,0,0.657,0.7075,3,0
37,1,0.6906,0.7426,0,0
37,2,0.6916,0.7391,0,0
37,3,0.7238,0.7443,0,0
37,4,0.7368,0.762,0,0
38,0,0.6467,0.6939,4,0
38,1,0.6764,0.7325,0,0
38,2,0.6739,0.7385,0,0
38,3,0.6728,0.7283,0,0
38,4,0.6865,0.719,0,0
39,0,0.6489,0.7226,0,0
39,1,0.7128,0.7051,0,0
39,2,0.7078,0.7382,0,0
39,3,0.6422,0.7479,0,0
39,4,0.6931,0.7573,0,0
40,0,0.6132,0.7059,1,0
40,1,0.6906,0.7324,0,0
40,2,0.7437,0.7421,0,0
40,3,0.7249,0.7621,0,0
40,4,0.7297,0.7065,0,0
41,0,0.6522,0.7181,2,0
41,1,0.7215,0.7322,0,0
41,2,0.7068,0.7531,0,0
41,3,0.7551,0.7729,0,0
41,4,0.7697,0.7385,0,0
42,0,0.6033,0.6969,3,0
42,1,0.7059,0.749,0,0
42,2,0.6742,0.7264,0,0
42,3,0.6773,0.7418,0,0
42,4,0.6268,0.7632,0,0
43,0,0.6826,0.7305,0,0
43,1,0.6897,0.7528,0,0
43,2,0.7133,0.7515,0,0
43,3,0.7451,0.7561,0,0
43,4,0.6604,0.7373,0,0
44,0,0.6624,0.7138,1,0
44,1,0.7497,0.7418,0,0
44,2,0.7371,0.7312,0,0
44,3,0.726,0.7755,0,0
44,4,0.6757,0.7586,0,0
45,0,0.6454,0.7071,2,0
45,1,0.7339,0.7214,0,0
45,2,0.7264,0.7298,0,0
45,3,0.7321,0.7432,0,0
45,4,0.7326,0.7438,0,0
46,0,0.4899,0.6839,3,0
46,1,0.7363,0.7312,0,0
46,2,0.7517,0.7472,0,0
46,3,0.767,0.7227,0,0
46,4,0.7169,0.7571,0,0
47,0,0.6865,0.6923,4,0
47,1,0.7512,0.7301,0,0
47,2,0.7472,0.7305,0,0
47,3,0.74,0.7459,0,0
47,4,0.7424,0.7638,0,0
48,0,0.6749,0.7306,5,0
48,1,0.7226,0.7624,0,0
48,2,0.7351,0.7614,0,0
48,3,0.7472,0.7603,0,0
48,4,0.7079,0.7563,0,0
49,0,0.6869,0.7319,0,0
49,1,0.6698,0.7506,0,0
49,2,0.7381,0.7532,0,0
49,3,0.746,0.7778,0,0
49,4,0.716,0.7631,0,0
