round,client_0_acc,client_0_loss,client_1_acc,client_1_loss,client_2_acc,client_2_loss,client_3_acc,client_3_loss,client_4_acc,client_4_loss,mean_acc,mean_loss,test_acc,test_loss
23,0.3939,1.982629436480848,0.7596,0.6824945390224457,0.75536,0.7072397646855335,0.74416,0.7212676272100332,0.7475,0.7282097316995452,0.680104,0.964368219819681,0.7503,0.7858837510966048
24,0.3889,1.9891495116149323,0.7448,0.7259417966008186,0.76408,0.6883610380547387,0.75024,0.7099546461689229,0.7531,0.71641402304927,0.6802239999999999,0.9659642030977365,0.74,0.7816119971154611
25,0.3955,1.9956956800026229,0.7574,0.7219247043132782,0.7668,0.672804303315221,0.756,0.6986073550521111,0.7547,0.7047906691514993,0.68608,0.9587645423669466,0.7618,0.7390560462505003
26,0.3974,1.9900525566897815,0.7652,0.6903573915362358,0.76952,0.6562525928020477,0.76296,0.677349965791313,0.7638,0.6791874773894684,0.691776,0.9386399968417691,0.7553,0.7425906492184989
27,0.405,1.977084331874606,0.7748,0.6610435180366039,0.772,0.6461381176296546,0.76752,0.6654660370276899,0.7716,0.6632757518864885,0.698184,0.9226015512910086,0.7639,0.7587877481798583
28,0.396,1.9826096945171114,0.764,0.6715563997626305,0.78392,0.6284935395328366,0.774,0.650803420616656,0.7728,0.6435920943187762,0.6981440000000001,0.915411029749602,0.7782,0.7142172712313978
29,0.398,1.993581642078448,0.7902,0.6274476066231728,0.782,0.6244173676383739,0.77616,0.6460281035729817,0.7825,0.6301973122584669,0.705772,0.9043344064342886,0.7538,0.7504771706424181
30,0.4007,1.9768654530561423,0.7612,0.6968788892030716,0.7872,0.6100628266529161,0.77656,0.6362794868800105,0.7793,0.6421678952778442,0.7009920000000001,0.9124509102139969,0.7842,0.6810448011265525
31,0.4141,1.9589545787135256,0.7962,0.5884063970297575,0.79256,0.602217051143549,0.78648,0.6148338123243682,0.7819,0.6374793494049507,0.7142480000000001,0.8803782377232302,0.7793,0.6854937740519077
32,0.4164,1.9573822036574158,0.8064,0.5956260025501251,0.79432,0.5861671089517827,0.78856,0.5987296910310278,0.7937,0.5961814952802055,0.719876,0.8668173002941115,0.7744,0.6891879205462299
33,0.4154,1.976522056362297,0.777,0.673444090783596,0.80368,0.5684886529129378,0.79392,0.5893749059463034,0.7933,0.6130711756929567,0.71666,0.8841801763396182,0.7807,0.6726821615726133
34,0.4252,1.9427847952782353,0.7936,0.5999307483434677,0.80464,0.5658534926419355,0.79632,0.5726295365970961,0.7976,0.5864424207542516,0.723472,0.8535281987229972,0.7876,0.6432436953617048
